root=Player
path	localPos	localEulerZ	localScale	worldPos	worldEulerZ
.	0.000000,0.000000	0.000	1.0000,1.0000	0.000000,0.000000	0.000
hair_R	-0.009000,1.518500	0.000	1.0000,1.0000	-0.009000,1.518500	0.000
forearm_R	-0.077500,1.048500	0.000	1.0000,1.0000	-0.077500,1.048500	0.000
arm_R	-0.097500,1.285000	0.000	1.0000,1.0000	-0.097500,1.285000	0.000
shirt	0.000000,0.000000	0.000	1.0000,1.0000	0.000000,0.000000	0.000
shirt/shirt_1	-0.018500,1.290500	0.000	1.0000,1.0000	-0.018500,1.290500	0.000
belt	-0.014500,1.031000	0.000	1.0000,1.0000	-0.014500,1.031000	0.000
upperBoot_R	-0.095500,0.363000	0.000	1.0000,1.0000	-0.095500,0.363000	0.000
leg_R	-0.046000,0.451500	0.000	1.0000,1.0000	-0.046000,0.451500	0.000
thigh_R	-0.031500,0.826000	0.000	1.0000,1.0000	-0.031500,0.826000	0.000
pelvis	-0.019000,1.022000	0.000	1.0000,1.0000	-0.019000,1.022000	0.000
ear	-0.070500,1.562000	0.000	1.0000,1.0000	-0.070500,1.562000	0.000
hairTop_R_side	0.025000,1.687500	0.000	1.0000,1.0000	0.025000,1.687500	0.000
hairTop_side	0.051500,1.721000	0.000	1.0000,1.0000	0.051500,1.721000	0.000
hairBack_01	-0.120000,1.589000	0.000	1.0000,1.0000	-0.120000,1.589000	0.000
eyebrows	0.058500,1.636000	0.000	1.0000,1.0000	0.058500,1.636000	0.000
head	-0.014500,1.593000	0.000	1.0000,1.0000	-0.014500,1.593000	0.000
tail	-0.154000,0.872500	0.000	1.0000,1.0000	-0.154000,0.872500	0.000
upperBoot_L	-0.011500,0.372000	0.000	1.0000,1.0000	-0.011500,0.372000	0.000
leg_L	0.035000,0.460500	0.000	1.0000,1.0000	0.035000,0.460500	0.000
thigh_L	0.002000,0.850000	0.000	1.0000,1.0000	0.002000,0.850000	0.000
neck	-0.032000,1.454000	0.000	1.0000,1.0000	-0.032000,1.454000	0.000
hairBack_02	-0.078000,1.561000	0.000	1.0000,1.0000	-0.078000,1.561000	0.000
hairTop_B	0.059000,1.655000	0.000	1.0000,1.0000	0.059000,1.655000	0.000
forearm_L	0.016500,1.048500	0.000	1.0000,1.0000	0.016500,1.048500	0.000
arm_L	-0.003500,1.285000	0.000	1.0000,1.0000	-0.003500,1.285000	0.000
root	-0.029600,0.200256	90.466	1.0000,1.0000	-0.029600,0.200256	90.466
root/pelvis_1	0.659263,-0.039474	-5.203	1.0000,1.0000	0.004512,0.859818	85.263
root/pelvis_1/abdomen	0.183899,0.000000	9.459	1.0000,1.0000	0.019699,1.043088	94.722
root/pelvis_1/abdomen/chest	0.157866,0.000000	-18.034	1.0000,1.0000	0.006704,1.200419	76.688
root/pelvis_1/abdomen/chest/neck_1	0.174298,0.000000	-5.821	1.0000,1.0000	0.046836,1.370034	70.867
root/pelvis_1/abdomen/chest/neck_1/head_1	0.076557,0.000000	-26.761	1.0000,1.0000	0.071928,1.442361	44.106
root/pelvis_1/abdomen/chest/neck_1/head_1/hairSide_01	0.050593,0.032585	-117.245	1.0000,1.0000	0.085578,1.500971	-73.139
root/pelvis_1/abdomen/chest/neck_1/head_1/hairSide_01/hairSide_02	0.093260,0.000000	20.652	1.0000,1.0000	0.112628,1.411720	-52.487
root/pelvis_1/abdomen/chest/neck_1/head_1/hairTop	0.292179,-0.047308	170.220	1.0000,1.0000	0.314654,1.611745	-145.675
root/pelvis_1/abdomen/chest/neck_1/head_1/hairTop/tail_01	0.444332,0.000000	16.969	1.0000,1.0000	-0.052297,1.361188	-128.706
root/pelvis_1/abdomen/chest/shoulder_R	0.154495,0.011953	127.198	1.0000,1.0000	0.030645,1.353515	-156.114
root/pelvis_1/abdomen/chest/shoulder_R/arm_R_1	0.053958,0.000000	30.400	1.0000,1.0000	-0.018692,1.331666	-125.713
root/pelvis_1/abdomen/chest/shoulder_R/arm_R_1/forearm_R_1	0.200676,0.000000	62.151	1.0000,1.0000	-0.135832,1.168727	-63.563
root/pelvis_1/abdomen/chest/shoulder_R/arm_R_1/forearm_R_1/hand_R	0.233072,0.000000	23.756	1.0000,1.0000	-0.032064,0.960030	-39.806
root/pelvis_1/abdomen/chest/shoulder_L	0.152515,-0.013381	-139.215	1.0000,1.0000	0.054842,1.345755	-62.526
root/pelvis_1/abdomen/chest/shoulder_L/arm_L_1	0.058261,0.000000	-61.315	1.0000,1.0000	0.081720,1.294064	-123.841
