root=Sara
path	localPos	localEulerZ	localScale	worldPos	worldEulerZ
.	1.005000,0.279000	0.000	1.0000,1.0000	1.005000,0.279000	0.000
puppet_sara	0.000000,0.000000	0.000	1.0000,1.0000	1.005000,0.279000	0.000
puppet_sara/hair_R	-0.009000,1.518500	0.000	1.0000,1.0000	0.996000,1.797500	0.000
puppet_sara/forearm_R	-0.077500,1.048500	0.000	1.0000,1.0000	0.927500,1.327500	0.000
puppet_sara/arm_R	-0.097500,1.285000	0.000	1.0000,1.0000	0.907500,1.564000	0.000
puppet_sara/shirt	0.000000,0.000000	0.000	1.0000,1.0000	1.005000,0.279000	0.000
puppet_sara/shirt/shirt_1	-0.018500,1.290500	0.000	1.0000,1.0000	0.986500,1.569500	0.000
puppet_sara/belt	-0.014500,1.031000	0.000	1.0000,1.0000	0.990500,1.310000	0.000
puppet_sara/upperBoot_R	-0.095500,0.363000	0.000	1.0000,1.0000	0.909500,0.642000	0.000
puppet_sara/leg_R	-0.046000,0.451500	0.000	1.0000,1.0000	0.959000,0.730500	0.000
puppet_sara/thigh_R	-0.031500,0.826000	0.000	1.0000,1.0000	0.973500,1.105000	0.000
puppet_sara/pelvis	-0.019000,1.022000	0.000	1.0000,1.0000	0.986000,1.301000	0.000
puppet_sara/ear	-0.070500,1.562000	0.000	1.0000,1.0000	0.934500,1.841000	0.000
puppet_sara/hairTop_R_side	0.025000,1.687500	0.000	1.0000,1.0000	1.030000,1.966500	0.000
puppet_sara/hairTop_side	0.051500,1.721000	0.000	1.0000,1.0000	1.056500,2.000000	0.000
puppet_sara/hairBack_01	-0.120000,1.589000	0.000	1.0000,1.0000	0.885000,1.868000	0.000
puppet_sara/eyebrows	0.058500,1.636000	0.000	1.0000,1.0000	1.063500,1.915000	0.000
puppet_sara/head	-0.014500,1.593000	0.000	1.0000,1.0000	0.990500,1.872000	0.000
puppet_sara/tail	-0.154000,0.872500	0.000	1.0000,1.0000	0.851000,1.151500	0.000
